Date,Time,Timer,Temperature,Condition,Light,Car,CarDuration
2022-06-26,07-52-10.022,286.0,15.42,overcast clouds,Red,False,1
2022-06-26,07-57-12.965,301.0,15.68,overcast clouds,Green,True,300
2022-06-26,07-57-45.900,33.0,15.68,overcast clouds,Red,False,0
2022-06-26,07-57-54.436,8.0,15.68,overcast clouds,Green,False,2
2022-06-26,07-59-19.405,82.0,15.66,overcast clouds,Red,False,0
2022-06-26,07-59-27.677,7.0,15.66,overcast clouds,Green,False,0
2022-06-26,07-59-32.048,4.0,15.66,overcast clouds,Red,False,1
2022-06-26,08-07-26.076,49.0,15.73,broken clouds,Red,False,0
2022-06-26,08-07-34.367,7.0,15.73,broken clouds,Green,False,1
2022-06-26,08-07-55.186,19.0,15.73,broken clouds,Red,False,0
2022-06-26,08-08-03.888,8.0,15.73,broken clouds,Green,False,1
2022-06-26,08-08-36.016,31.0,15.73,broken clouds,Red,False,1
2022-06-26,08-08-41.866,6.0,15.73,broken clouds,Green,False,0
2022-06-26,08-09-14.829,31.0,15.73,broken clouds,Red,False,0
2022-06-26,08-09-25.427,10.0,15.73,broken clouds,Green,True,4
2022-06-26,08-09-31.387,4.0,15.73,broken clouds,Red,False,0
2022-06-26,08-09-41.725,9.0,15.79,broken clouds,Green,False,2
2022-06-26,08-10-08.505,27.0,15.79,broken clouds,Red,True,2
2022-06-26,08-10-14.973,6.0,15.79,broken clouds,Green,False,0
2022-06-26,08-11-16.710,60.0,15.85,broken clouds,Red,False,1
2022-06-26,08-11-24.968,7.0,15.85,broken clouds,Green,False,2
2022-06-26,08-12-26.945,62.0,15.85,broken clouds,Red,False,0
2022-06-26,08-12-39.195,10.0,15.85,broken clouds,Green,True,4
2022-06-26,08-16-11.163,211.0,15.98,broken clouds,Red,True,2
2022-06-26,08-16-17.606,6.0,15.98,broken clouds,Green,False,2
2022-06-26,08-17-19.861,62.0,16.1,broken clouds,Red,False,0
2022-06-26,08-17-21.962,1.0,16.1,broken clouds,Green,False,0
2022-06-26,08-17-42.713,19.0,16.1,broken clouds,Red,False,0
2022-06-26,08-17-44.750,1.0,16.1,broken clouds,Green,False,0
2022-06-26,08-17-55.132,9.0,16.1,broken clouds,Red,False,0
2022-06-26,08-17-57.173,1.0,16.1,broken clouds,Green,False,0
2022-06-26,08-18-07.524,9.0,16.1,broken clouds,Red,False,0
2022-06-26,08-18-11.626,3.0,16.1,broken clouds,Green,False,0
2022-06-26,08-18-40.593,29.0,16.08,broken clouds,Red,False,0
2022-06-26,08-18-44.768,3.0,16.08,broken clouds,Green,False,0
2022-06-26,08-18-46.913,1.0,16.08,broken clouds,Red,False,0
2022-06-26,08-18-48.960,1.0,16.08,broken clouds,Green,False,0
2022-06-26,08-18-53.155,3.0,16.08,broken clouds,Red,False,0
2022-06-26,08-18-55.190,1.0,16.08,broken clouds,Green,False,0
2022-06-26,08-18-59.350,3.0,16.08,broken clouds,Red,False,0
2022-06-26,08-19-07.665,7.0,16.08,broken clouds,Green,False,0
2022-06-26,08-19-13.938,7.0,16.08,broken clouds,Red,False,0
2022-06-26,08-19-15.972,1.0,16.08,broken clouds,Green,False,0
2022-06-26,08-19-22.408,6.0,16.08,broken clouds,Red,False,0
2022-06-26,08-19-24.231,1,16.08,broken clouds,Green,False,0
2022-06-26,08-19-44.912,19.0,16.12,broken clouds,Red,False,0
2022-06-26,08-19-46.987,1.0,16.12,broken clouds,Green,False,0
2022-06-26,08-19-51.117,3.0,16.12,broken clouds,Red,False,0
2022-06-26,08-19-53.144,1.0,16.12,broken clouds,Green,False,0
2022-06-26,08-19-55.193,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-20-07.711,11.0,16.12,broken clouds,Green,False,0
2022-06-26,08-20-08.275,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-20-30.674,21.0,16.12,broken clouds,Green,False,1
2022-06-26,08-20-32.813,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-20-38.973,5.0,16.12,broken clouds,Green,False,0
2022-06-26,08-20-45.232,5.0,16.12,broken clouds,Red,False,0
2022-06-26,08-20-47.387,1.0,16.12,broken clouds,Green,False,0
2022-06-26,08-20-47.815,1,16.12,broken clouds,Red,False,0
2022-06-26,08-20-53.577,4.0,16.12,broken clouds,Green,False,0
2022-06-26,08-20-55.705,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-20-58.140,3.0,16.12,broken clouds,Green,False,0
2022-06-26,08-20-59.779,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-21-10.165,9.0,16.12,broken clouds,Green,False,0
2022-06-26,08-21-26.719,15.0,16.12,broken clouds,Red,False,0
2022-06-26,08-21-28.803,1.0,16.12,broken clouds,Green,False,0
2022-06-26,08-21-30.810,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-21-32.880,1.0,16.12,broken clouds,Green,False,0
2022-06-26,08-21-34.988,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-21-36.988,1.0,16.12,broken clouds,Green,False,0
2022-06-26,08-21-39.094,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-21-41.096,1.0,16.12,broken clouds,Green,False,0
2022-06-26,08-21-43.195,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-21-55.611,11.0,16.12,broken clouds,Green,False,0
2022-06-26,08-21-58.103,3.0,16.12,broken clouds,Red,False,0
2022-06-26,08-21-59.742,1.0,16.12,broken clouds,Green,False,0
2022-06-26,08-22-01.810,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-22-06.000,3.0,16.12,broken clouds,Green,False,0
2022-06-26,08-22-08.019,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-22-10.167,1.0,16.12,broken clouds,Green,False,0
2022-06-26,08-22-14.364,3.0,16.12,broken clouds,Red,False,0
2022-06-26,08-22-24.753,9.0,16.12,broken clouds,Green,False,0
2022-06-26,08-22-26.915,1.0,16.12,broken clouds,Red,False,0
2022-06-26,08-22-28.960,1.0,16.12,broken clouds,Green,False,0
2022-06-26,08-22-37.240,7.0,16.12,broken clouds,Red,False,0
2022-06-26,08-22-45.838,8.0,16.12,broken clouds,Green,False,1
2022-06-26,08-22-49.770,2.0,16.12,broken clouds,Red,False,0
2022-06-26,08-22-59.102,9.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-23-01.117,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-23-11.505,9.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-23-13.548,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-23-15.689,1.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-23-16.062,1,16.46,overcast clouds,Red,False,0
2022-06-26,08-23-18.356,2.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-23-19.808,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-23-26.107,5.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-23-28.217,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-23-42.996,14.0,16.46,overcast clouds,Green,False,1
2022-06-26,08-23-44.782,1,16.46,overcast clouds,Red,False,0
2022-06-26,08-23-55.289,9.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-23-55.660,1,16.46,overcast clouds,Red,False,0
2022-06-26,08-24-11.888,16.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-24-13.948,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-24-30.620,15.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-24-32.653,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-24-36.815,3.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-24-38.963,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-25-12.335,33.0,16.46,overcast clouds,Green,False,2
2022-06-26,08-25-14.480,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-25-58.093,43.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-26-02.307,3.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-26-20.933,17.0,16.46,overcast clouds,Green,False,2
2022-06-26,08-26-23.003,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-26-37.521,13.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-26-39.582,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-27-00.252,21.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-27-02.328,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-27-08.612,5.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-27-10.661,1.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-27-12.743,1.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-27-23.129,9.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-27-25.167,1.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-28-04.737,39.0,16.46,overcast clouds,Red,False,0
2022-06-26,08-28-08.900,3.0,16.46,overcast clouds,Green,False,0
2022-06-26,08-30-28.870,140.0,16.68,overcast clouds,Red,True,3
2022-06-26,08-30-37.292,7.0,16.68,overcast clouds,Green,False,2
2022-06-26,08-30-45.422,6.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-30-51.933,6.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-30-56.834,4.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-30-57.214,1,16.68,overcast clouds,Green,False,0
2022-06-26,08-31-03.001,4.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-31-05.097,1.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-31-07.189,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-31-09.305,1.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-31-17.988,8.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-31-20.367,2.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-31-21.932,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-31-23.933,1.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-31-26.004,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-31-30.116,3.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-31-34.213,3.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-31-36.225,1.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-31-40.749,4.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-31-54.989,12.0,16.68,overcast clouds,Green,True,4
2022-06-26,08-32-01.229,5.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-32-01.619,1,16.68,overcast clouds,Green,False,0
2022-06-26,08-32-03.353,1,16.68,overcast clouds,Red,False,0
2022-06-26,08-32-09.611,5.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-32-11.704,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-32-13.792,1.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-32-28.234,15.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-32-40.675,11.0,16.68,overcast clouds,Green,True,4
2022-06-26,08-32-42.790,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-32-46.996,3.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-32-49.007,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-32-55.249,5.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-32-57.338,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-33-03.542,5.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-33-03.916,1,16.68,overcast clouds,Red,False,0
2022-06-26,08-33-36.575,32.0,16.68,overcast clouds,Green,False,1
2022-06-26,08-33-38.665,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-33-42.900,3.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-33-44.901,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-33-47.036,1.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-33-49.012,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-33-51.120,1.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-33-53.131,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-34-11.828,19.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-34-13.894,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-34-18.042,3.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-34-20.120,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-34-22.193,1.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-34-24.218,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-34-32.516,7.0,16.68,overcast clouds,Green,False,0
2022-06-26,08-34-34.576,1.0,16.68,overcast clouds,Red,False,0
2022-06-26,08-34-53.527,18.0,16.7,overcast clouds,Green,False,0
2022-06-26,08-34-55.302,1,16.7,overcast clouds,Red,False,0
2022-06-26,08-35-08.049,12.0,16.7,overcast clouds,Green,True,4
2022-06-26,08-35-08.418,1,16.7,overcast clouds,Red,False,0
2022-06-26,08-35-09.890,1.0,16.7,overcast clouds,Green,False,0
2022-06-26,08-35-11.949,1.0,16.7,overcast clouds,Red,False,0
2022-06-26,08-35-53.325,39.0,16.7,overcast clouds,Green,False,0
2022-06-26,08-35-53.651,1,16.7,overcast clouds,Red,False,0
2022-06-26,08-35-57.527,2.0,16.7,overcast clouds,Green,False,0
2022-06-26,08-35-59.668,1.0,16.7,overcast clouds,Red,False,0
2022-06-26,08-36-10.297,12.0,16.7,overcast clouds,Green,False,1
2022-06-26,08-36-12.273,1,16.7,overcast clouds,Red,False,0
2022-06-26,08-36-14.353,1.0,16.7,overcast clouds,Green,False,0
2022-06-26,08-36-16.411,1.0,16.7,overcast clouds,Red,False,0
2022-06-26,08-36-53.811,37.0,16.7,overcast clouds,Green,True,3
2022-06-26,08-36-55.944,1.0,16.7,overcast clouds,Red,False,0
2022-06-26,08-36-57.977,1.0,16.7,overcast clouds,Green,False,0
2022-06-26,08-37-10.580,11.0,16.71,overcast clouds,Red,False,0
2022-06-26,08-37-12.646,1.0,16.71,overcast clouds,Green,False,0
